"序号","商品名称","原价","成本价","商品详情","商品缩略图","商品轮播图","商品视频","单位","售价","是否使用规格","规格组","商品库存","虚拟销量","购物数量限制","单品满件包邮","单品满额包邮","赠送积分","赠送积分类型","可抵扣积分","可抵扣积分类型","允许多件累计折扣","商品标识","自定义分享图片","自定义分享标题","排序","限购订单","是否单独区域购买","区域限购详情","规格详情","是否快速购买","是否热销","是否面议"
1,"室外装修工程案例（为客户制定设计装修）","0.00","0.00","<p>详情请联系客服</p><p><img src=""https://app.zgdljsw.cn/static/uploadfile/file/2019-11-22/5dd78b834b37d.jpg"" alt="""" data-w-e=""1""></p>","https://app.zgdljsw.cn/static/uploadfile/file/2019-11-22/5dd78b834b37d.jpg","[{""pic_url"":""https://app.zgdljsw.cn/static/uploadfile/file/2019-11-22/5dd78b834b37d.jpg"",""id"":""1""}]"," ","套","0.00",0,"[{""attr_group_id"":1,""attr_group_name"":""规格"",""attr_list"":[{""attr_id"":2,""attr_name"":""默认""}]}]",0,0,100,0,0,100,1,0,0,1," "," "," ",100,-1,0,"[{""list"":[]}]","[{""id"":12096,""goods_id"":8330,""sign_id"":""2"",""stock"":1,""price"":""0.00"",""no"":"""",""weight"":0,""pic_url"":"""",""is_delete"":0,""attr_list"":[{""attr_group_name"":""规格"",""attr_group_id"":1,""attr_id"":2,""attr_name"":""默认""}]}]",0,0,1
2,"丹寨某医院装修（为客户定制设计装修）","0.00","0.00","<p>详情请咨询商家（各种风格设计，可以定制设计）</p> <p><img src=""https://app.zgdljsw.cn/static/uploadfile/file/2019-09-18/5d819872d073b.jpg"" alt="""" data-w-e=""1""></p>","https://app.zgdljsw.cn/static/uploadfile/file/2019-09-18/5d819872d073b.jpg","[{""pic_url"":""https://app.zgdljsw.cn/static/uploadfile/file/2019-09-18/5d819872d073b.jpg"",""id"":""1""}]"," ","套","0.00",0,"[{""attr_group_id"":1,""attr_group_name"":""规格"",""attr_list"":[{""attr_id"":2,""attr_name"":""默认""}]}]",0,0,100,0,0,100,1,0,0,1," "," "," ",100,-1,0,"[{""list"":[]}]","[{""id"":12096,""goods_id"":8330,""sign_id"":""2"",""stock"":1,""price"":""0.00"",""no"":"""",""weight"":0,""pic_url"":"""",""is_delete"":0,""attr_list"":[{""attr_group_name"":""规格"",""attr_group_id"":1,""attr_id"":2,""attr_name"":""默认""}]}]",0,0,1
3," 凯里黔山壹牛民俗风味庄（为客户定制设计装修）","0.00","0.00","<p>详情请咨询商家（各种风格设计，可以定制设计）</p> <p><img src=""https://app.zgdljsw.cn/static/uploadfile/file/2019-09-18/5d818f462dcec.png"" alt="""" data-w-e=""1""></p>","https://app.zgdljsw.cn/static/uploadfile/file/2019-09-18/5d818f462dcec.png","[{""pic_url"":""https://app.zgdljsw.cn/static/uploadfile/file/2019-09-18/5d818f462dcec.png"",""id"":""1""}]"," ","套","0.00",0,"[{""attr_group_id"":1,""attr_group_name"":""规格"",""attr_list"":[{""attr_id"":2,""attr_name"":""默认""}]}]",0,0,100,0,0,100,1,0,0,1," "," "," ",100,-1,0,"[{""list"":[]}]","[{""id"":12096,""goods_id"":8330,""sign_id"":""2"",""stock"":1,""price"":""0.00"",""no"":"""",""weight"":0,""pic_url"":"""",""is_delete"":0,""attr_list"":[{""attr_group_name"":""规格"",""attr_group_id"":1,""attr_id"":2,""attr_name"":""默认""}]}]",0,0,1
4,"湖北.通城尧家林度假酒店客房（为客户定制设计装修）","0.00","0.00","<p>详情请咨询商家（各种风格设计，可以定制设计）</p> <p><img src=""https://app.zgdljsw.cn/static/uploadfile/file/2019-09-18/5d818e867c1c4.png"" alt="""" data-w-e=""1""></p>","https://app.zgdljsw.cn/static/uploadfile/file/2019-09-18/5d818e867c1c4.png","[{""pic_url"":""https://app.zgdljsw.cn/static/uploadfile/file/2019-09-18/5d818e867c1c4.png"",""id"":""1""}]"," ","套","0.00",0,"[{""attr_group_id"":1,""attr_group_name"":""规格"",""attr_list"":[{""attr_id"":2,""attr_name"":""默认""}]}]",0,0,100,0,0,100,1,0,0,1," "," "," ",100,-1,0,"[{""list"":[]}]","[{""id"":12096,""goods_id"":8330,""sign_id"":""2"",""stock"":1,""price"":""0.00"",""no"":"""",""weight"":0,""pic_url"":"""",""is_delete"":0,""attr_list"":[{""attr_group_name"":""规格"",""attr_group_id"":1,""attr_id"":2,""attr_name"":""默认""}]}]",0,0,1
5,"凯里某单位简装（为客户定制设计装修）","0.00","0.00","<p>详情请咨询商家（各种风格设计，可以定制设计）</p> <p><img src=""https://app.zgdljsw.cn/static/uploadfile/file/2019-09-18/5d818cb6d5bd0.png"" alt="""" data-w-e=""1""></p>","https://app.zgdljsw.cn/static/uploadfile/file/2019-09-18/5d818cb6d5bd0.png","[{""pic_url"":""https://app.zgdljsw.cn/static/uploadfile/file/2019-09-18/5d818cb6d5bd0.png"",""id"":""1""}]"," ","套","0.00",0,"[{""attr_group_id"":1,""attr_group_name"":""规格"",""attr_list"":[{""attr_id"":2,""attr_name"":""默认""}]}]",0,0,100,0,0,100,1,0,0,1," "," "," ",100,-1,0,"[{""list"":[]}]","[{""id"":12096,""goods_id"":8330,""sign_id"":""2"",""stock"":1,""price"":""0.00"",""no"":"""",""weight"":0,""pic_url"":"""",""is_delete"":0,""attr_list"":[{""attr_group_name"":""规格"",""attr_group_id"":1,""attr_id"":2,""attr_name"":""默认""}]}]",0,0,1
6,"五月花餐厅（为客户定制设计装修）","0.00","0.00","<p>详情请咨询商家（各种风格设计，可以定制设计）</p> <p><img src=""https://app.zgdljsw.cn/static/uploadfile/file/2019-09-18/5d8185088e3fd.png"" alt="""" data-w-e=""1""></p>","https://app.zgdljsw.cn/static/uploadfile/file/2019-09-18/5d8185088e3fd.png","[{""pic_url"":""https://app.zgdljsw.cn/static/uploadfile/file/2019-09-18/5d8185088e3fd.png"",""id"":""1""}]"," ","套","0.00",0,"[{""attr_group_id"":1,""attr_group_name"":""规格"",""attr_list"":[{""attr_id"":2,""attr_name"":""默认""}]}]",0,0,100,0,0,100,1,0,0,1," "," "," ",100,-1,0,"[{""list"":[]}]","[{""id"":12096,""goods_id"":8330,""sign_id"":""2"",""stock"":1,""price"":""0.00"",""no"":"""",""weight"":0,""pic_url"":"""",""is_delete"":0,""attr_list"":[{""attr_group_name"":""规格"",""attr_group_id"":1,""attr_id"":2,""attr_name"":""默认""}]}]",0,0,1
7,"未来城家装（为客户定制设计装修）","0.00","0.00","<p>详情请咨询商家（各种风格设计，可以定制设计）</p> <p><img src=""https://app.zgdljsw.cn/static/uploadfile/file/2019-09-18/5d81829655d29.jpg"" alt="""" data-w-e=""1""></p>","https://app.zgdljsw.cn/static/uploadfile/file/2019-09-18/5d81829655d29.jpg","[{""pic_url"":""https://app.zgdljsw.cn/static/uploadfile/file/2019-09-18/5d81829655d29.jpg"",""id"":""1""}]"," ","套","0.00",0,"[{""attr_group_id"":1,""attr_group_name"":""规格"",""attr_list"":[{""attr_id"":2,""attr_name"":""默认""}]}]",0,0,100,0,0,100,1,0,0,1," "," "," ",100,-1,0,"[{""list"":[]}]","[{""id"":12096,""goods_id"":8330,""sign_id"":""2"",""stock"":1,""price"":""0.00"",""no"":"""",""weight"":0,""pic_url"":"""",""is_delete"":0,""attr_list"":[{""attr_group_name"":""规格"",""attr_group_id"":1,""attr_id"":2,""attr_name"":""默认""}]}]",0,0,1
8,"碧桂园家装（为客户定制设计装修）","0.00","0.00","<p>详情请咨询商家（各种风格设计，可以定制）</p> <p><img src=""https://app.zgdljsw.cn/static/uploadfile/file/2019-09-18/5d817fbdadac1.jpg"" alt="""" data-w-e=""1""></p>","https://app.zgdljsw.cn/static/uploadfile/file/2019-09-18/5d817fbdadac1.jpg","[{""pic_url"":""https://app.zgdljsw.cn/static/uploadfile/file/2019-09-18/5d817fbdadac1.jpg"",""id"":""1""}]"," ","套","0.00",0,"[{""attr_group_id"":1,""attr_group_name"":""规格"",""attr_list"":[{""attr_id"":2,""attr_name"":""默认""}]}]",0,0,100,0,0,100,1,0,0,1," "," "," ",100,-1,0,"[{""list"":[]}]","[{""id"":12096,""goods_id"":8330,""sign_id"":""2"",""stock"":1,""price"":""0.00"",""no"":"""",""weight"":0,""pic_url"":"""",""is_delete"":0,""attr_list"":[{""attr_group_name"":""规格"",""attr_group_id"":1,""attr_id"":2,""attr_name"":""默认""}]}]",0,0,1
9,"凯里某单位会议室（为客户定制设计装修）","0.00","0.00","<p>详情请咨询商家（各种风格设计，可以定制设计）</p> <p><img src=""https://app.zgdljsw.cn/static/uploadfile/file/2019-09-12/5d79bc75efe66.jpg"" alt="""" data-w-e=""1""></p>","https://app.zgdljsw.cn/static/uploadfile/file/2019-09-12/5d79bc75efe66.jpg","[{""pic_url"":""https://app.zgdljsw.cn/static/uploadfile/file/2019-09-12/5d79bc75efe66.jpg"",""id"":""1""}]"," ","套","0.00",0,"[{""attr_group_id"":1,""attr_group_name"":""规格"",""attr_list"":[{""attr_id"":2,""attr_name"":""默认""}]}]",0,0,100,0,0,100,1,0,0,1," "," "," ",100,-1,0,"[{""list"":[]}]","[{""id"":12096,""goods_id"":8330,""sign_id"":""2"",""stock"":1,""price"":""0.00"",""no"":"""",""weight"":0,""pic_url"":"""",""is_delete"":0,""attr_list"":[{""attr_group_name"":""规格"",""attr_group_id"":1,""attr_id"":2,""attr_name"":""默认""}]}]",0,0,1
10,"凯里西湖酒店（为客户定制设计装修）","0.00","0.00","<p>详情请咨询商家（各种风格设计，可以定制设计）</p> <p><img src=""https://app.zgdljsw.cn/static/uploadfile/file/2019-09-12/5d79b8fe3476b.jpg"" alt="""" data-w-e=""1""></p>","https://app.zgdljsw.cn/static/uploadfile/file/2019-09-12/5d79b8fe3476b.jpg","[{""pic_url"":""https://app.zgdljsw.cn/static/uploadfile/file/2019-09-12/5d79b8fe3476b.jpg"",""id"":""1""}]"," ","套","0.00",0,"[{""attr_group_id"":1,""attr_group_name"":""规格"",""attr_list"":[{""attr_id"":2,""attr_name"":""默认""}]}]",0,0,100,0,0,100,1,0,0,1," "," "," ",100,-1,0,"[{""list"":[]}]","[{""id"":12096,""goods_id"":8330,""sign_id"":""2"",""stock"":1,""price"":""0.00"",""no"":"""",""weight"":0,""pic_url"":"""",""is_delete"":0,""attr_list"":[{""attr_group_name"":""规格"",""attr_group_id"":1,""attr_id"":2,""attr_name"":""默认""}]}]",0,0,1
