"序号","商品名称","原价","成本价","商品详情","商品缩略图","商品轮播图","商品视频","单位","售价","是否使用规格","规格组","商品库存","虚拟销量","购物数量限制","单品满件包邮","单品满额包邮","赠送积分","赠送积分类型","可抵扣积分","可抵扣积分类型","允许多件累计折扣","商品标识","自定义分享图片","自定义分享标题","排序","限购订单","是否单独区域购买","区域限购详情","规格详情","是否快速购买","是否热销","是否面议"
1,"交联乙烯绝缘电力电缆","0.00","0.00","<p>（35KV及以下）详情请联系在线客服</p>","https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce8af244ea4d.jpg","[{""pic_url"":""https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce8af5e17b3d.jpg"",""id"":""1""}]"," ","米","0.00",0,"[{""attr_group_id"":1,""attr_group_name"":""规格"",""attr_list"":[{""attr_id"":2,""attr_name"":""默认""}]}]",0,0,100,0,0,100,1,0,0,1," "," "," ",100,-1,0,"[{""list"":[]}]","[{""id"":12096,""goods_id"":8330,""sign_id"":""2"",""stock"":1,""price"":""0.00"",""no"":"""",""weight"":0,""pic_url"":"""",""is_delete"":0,""attr_list"":[{""attr_group_name"":""规格"",""attr_group_id"":1,""attr_id"":2,""attr_name"":""默认""}]}]",0,0,1
2,"钢芯铝交联聚乙烯绝缘架空电缆","0.00","0.00","<p>详情请联系在线客服</p>","https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce8ad2811de2.jpg","[{""pic_url"":""https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce8ad9c85aa9.jpg"",""id"":""1""}]"," ","米","0.00",0,"[{""attr_group_id"":1,""attr_group_name"":""规格"",""attr_list"":[{""attr_id"":2,""attr_name"":""默认""}]}]",0,0,100,0,0,100,1,0,0,1," "," "," ",100,-1,0,"[{""list"":[]}]","[{""id"":12096,""goods_id"":8330,""sign_id"":""2"",""stock"":1,""price"":""0.00"",""no"":"""",""weight"":0,""pic_url"":"""",""is_delete"":0,""attr_list"":[{""attr_group_name"":""规格"",""attr_group_id"":1,""attr_id"":2,""attr_name"":""默认""}]}]",0,0,1
3,"聚氯乙烯护套控制电缆","0.00","0.00","<p>(交联聚乙烯绝缘)详情请联系在线客服</p>","https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce8ab9dd4b80.jpg","[{""pic_url"":""https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce8ac4cf12c0.jpg"",""id"":""1""}]"," ","米","0.00",0,"[{""attr_group_id"":1,""attr_group_name"":""规格"",""attr_list"":[{""attr_id"":2,""attr_name"":""默认""}]}]",0,0,100,0,0,100,1,0,0,1," "," "," ",100,-1,0,"[{""list"":[]}]","[{""id"":12096,""goods_id"":8330,""sign_id"":""2"",""stock"":1,""price"":""0.00"",""no"":"""",""weight"":0,""pic_url"":"""",""is_delete"":0,""attr_list"":[{""attr_group_name"":""规格"",""attr_group_id"":1,""attr_id"":2,""attr_name"":""默认""}]}]",0,0,1
4,"矿用电缆","0.00","0.00","<p>详情请联系在线客服</p>","https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce8aa076b066.jpg","[{""pic_url"":""https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce8aa741a1e1.jpg"",""id"":""1""}]"," ","米","0.00",0,"[{""attr_group_id"":1,""attr_group_name"":""规格"",""attr_list"":[{""attr_id"":2,""attr_name"":""默认""}]}]",0,0,100,0,0,100,1,0,0,1," "," "," ",100,-1,0,"[{""list"":[]}]","[{""id"":12096,""goods_id"":8330,""sign_id"":""2"",""stock"":1,""price"":""0.00"",""no"":"""",""weight"":0,""pic_url"":"""",""is_delete"":0,""attr_list"":[{""attr_group_name"":""规格"",""attr_group_id"":1,""attr_id"":2,""attr_name"":""默认""}]}]",0,0,1
5,"采煤机用软电缆","0.00","0.00","<p>详情请联系在线客服</p>","https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce8a94565290.jpg","[{""pic_url"":""https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce8a994d3724.jpg"",""id"":""1""}]"," ","米","0.00",0,"[{""attr_group_id"":1,""attr_group_name"":""规格"",""attr_list"":[{""attr_id"":2,""attr_name"":""默认""}]}]",0,0,100,0,0,100,1,0,0,1," "," "," ",100,-1,0,"[{""list"":[]}]","[{""id"":12096,""goods_id"":8330,""sign_id"":""2"",""stock"":1,""price"":""0.00"",""no"":"""",""weight"":0,""pic_url"":"""",""is_delete"":0,""attr_list"":[{""attr_group_name"":""规格"",""attr_group_id"":1,""attr_id"":2,""attr_name"":""默认""}]}]",0,0,1
6,"铝合金芯聚氯乙烯保护电力电缆","0.00","0.00","<p>详情请联系在线客服</p>","https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce8a6eb3d0e1.jpg","[{""pic_url"":""https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce8a8717cd91.jpg"",""id"":""1""}]"," ","米","0.00",0,"[{""attr_group_id"":1,""attr_group_name"":""规格"",""attr_list"":[{""attr_id"":2,""attr_name"":""默认""}]}]",0,0,100,0,0,100,1,0,0,1," "," "," ",100,-1,0,"[{""list"":[]}]","[{""id"":12096,""goods_id"":8330,""sign_id"":""2"",""stock"":1,""price"":""0.00"",""no"":"""",""weight"":0,""pic_url"":"""",""is_delete"":0,""attr_list"":[{""attr_group_name"":""规格"",""attr_group_id"":1,""attr_id"":2,""attr_name"":""默认""}]}]",0,0,1
7,"硅橡绝缘和护套镀锡丝移动用扁平软电缆","0.00","0.00","<p>详情请联系在线客服</p>","https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce8a459a0d0c.jpg","[{""pic_url"":""https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce8a4d43b519.jpg"",""id"":""1""}]"," ","米","0.00",0,"[{""attr_group_id"":1,""attr_group_name"":""规格"",""attr_list"":[{""attr_id"":2,""attr_name"":""默认""}]}]",0,0,100,0,0,100,1,0,0,1," "," "," ",100,-1,0,"[{""list"":[]}]","[{""id"":12096,""goods_id"":8330,""sign_id"":""2"",""stock"":1,""price"":""0.00"",""no"":"""",""weight"":0,""pic_url"":"""",""is_delete"":0,""attr_list"":[{""attr_group_name"":""规格"",""attr_group_id"":1,""attr_id"":2,""attr_name"":""默认""}]}]",0,0,1
8,"卷筒扁电缆","0.00","0.00","<p>（取料机、取煤机专用）详情请联系在线客服</p>","https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce8a29eed4ff.jpg","[{""pic_url"":""https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce8a2cc89172.jpg"",""id"":""1""}]"," ","米","0.00",0,"[{""attr_group_id"":1,""attr_group_name"":""规格"",""attr_list"":[{""attr_id"":2,""attr_name"":""默认""}]}]",0,0,100,0,0,100,1,0,0,1," "," "," ",100,-1,0,"[{""list"":[]}]","[{""id"":12096,""goods_id"":8330,""sign_id"":""2"",""stock"":1,""price"":""0.00"",""no"":"""",""weight"":0,""pic_url"":"""",""is_delete"":0,""attr_list"":[{""attr_group_name"":""规格"",""attr_group_id"":1,""attr_id"":2,""attr_name"":""默认""}]}]",0,0,1
9,"特种耐高温、耐高压电缆","0.00","0.00","<p>详情请咨询在线客服</p>","https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce8a1c3c795d.jpg","[{""pic_url"":""https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce8a202b5c08.jpg"",""id"":""1""}]"," ","米","0.00",0,"[{""attr_group_id"":1,""attr_group_name"":""规格"",""attr_list"":[{""attr_id"":2,""attr_name"":""默认""}]}]",0,0,100,0,0,100,1,0,0,1," "," "," ",100,-1,0,"[{""list"":[]}]","[{""id"":12096,""goods_id"":8330,""sign_id"":""2"",""stock"":1,""price"":""0.00"",""no"":"""",""weight"":0,""pic_url"":"""",""is_delete"":0,""attr_list"":[{""attr_group_name"":""规格"",""attr_group_id"":1,""attr_id"":2,""attr_name"":""默认""}]}]",0,0,1
10,"聚氯乙烯绝缘电线铜芯、铝芯","0.00","0.00","<p>详情请联系在线客服</p>","https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce8a0b2f0568.jpg","[{""pic_url"":""https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce8a1313f695.jpg"",""id"":""1""}]"," ","米","0.00",0,"[{""attr_group_id"":1,""attr_group_name"":""规格"",""attr_list"":[{""attr_id"":2,""attr_name"":""默认""}]}]",0,0,100,0,0,100,1,0,0,1," "," "," ",100,-1,0,"[{""list"":[]}]","[{""id"":12096,""goods_id"":8330,""sign_id"":""2"",""stock"":1,""price"":""0.00"",""no"":"""",""weight"":0,""pic_url"":"""",""is_delete"":0,""attr_list"":[{""attr_group_name"":""规格"",""attr_group_id"":1,""attr_id"":2,""attr_name"":""默认""}]}]",0,0,1
11,"预制多芯分支电缆","0.00","0.00","<p>详情请联系在线客服</p>","https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce89f703dc87.jpg","[{""pic_url"":""https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce89fc32e707.jpg"",""id"":""1""}]"," ","米","0.00",0,"[{""attr_group_id"":1,""attr_group_name"":""规格"",""attr_list"":[{""attr_id"":2,""attr_name"":""默认""}]}]",0,0,100,0,0,100,1,0,0,1," "," "," ",100,-1,0,"[{""list"":[]}]","[{""id"":12096,""goods_id"":8330,""sign_id"":""2"",""stock"":1,""price"":""0.00"",""no"":"""",""weight"":0,""pic_url"":"""",""is_delete"":0,""attr_list"":[{""attr_group_name"":""规格"",""attr_group_id"":1,""attr_id"":2,""attr_name"":""默认""}]}]",0,0,1
12,"预制分支电缆","0.00","0.00","<p>详情请联系在线客服</p>","https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce89e70a026f.jpg","[{""pic_url"":""https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce89ee31b12f.jpg"",""id"":""1""}]"," ","米","0.00",0,"[{""attr_group_id"":1,""attr_group_name"":""规格"",""attr_list"":[{""attr_id"":2,""attr_name"":""默认""}]}]",0,0,100,0,0,100,1,0,0,1," "," "," ",100,-1,0,"[{""list"":[]}]","[{""id"":12096,""goods_id"":8330,""sign_id"":""2"",""stock"":1,""price"":""0.00"",""no"":"""",""weight"":0,""pic_url"":"""",""is_delete"":0,""attr_list"":[{""attr_group_name"":""规格"",""attr_group_id"":1,""attr_id"":2,""attr_name"":""默认""}]}]",0,0,1
13,"通用橡套软电缆","0.00","0.00","<p>详情请联系在线客服</p>","https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce89b5c90a31.jpg","[{""pic_url"":""https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce89b93eef92.jpg"",""id"":""1""}]"," ","米","0.00",0,"[{""attr_group_id"":1,""attr_group_name"":""规格"",""attr_list"":[{""attr_id"":2,""attr_name"":""默认""}]}]",0,0,100,0,0,100,1,0,0,1," "," "," ",100,-1,0,"[{""list"":[]}]","[{""id"":12096,""goods_id"":8330,""sign_id"":""2"",""stock"":1,""price"":""0.00"",""no"":"""",""weight"":0,""pic_url"":"""",""is_delete"":0,""attr_list"":[{""attr_group_name"":""规格"",""attr_group_id"":1,""attr_id"":2,""attr_name"":""默认""}]}]",0,0,1
14,"电焊机电缆","0.00","0.00","<p>详情请联系在线客服</p>","https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce899eeb44dd.jpg","[{""pic_url"":""https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce89a58c7db1.jpg"",""id"":""1""}]"," ","米","0.00",0,"[{""attr_group_id"":1,""attr_group_name"":""规格"",""attr_list"":[{""attr_id"":2,""attr_name"":""默认""}]}]",0,0,100,0,0,100,1,0,0,1," "," "," ",100,-1,0,"[{""list"":[]}]","[{""id"":12096,""goods_id"":8330,""sign_id"":""2"",""stock"":1,""price"":""0.00"",""no"":"""",""weight"":0,""pic_url"":"""",""is_delete"":0,""attr_list"":[{""attr_group_name"":""规格"",""attr_group_id"":1,""attr_id"":2,""attr_name"":""默认""}]}]",0,0,1
15,"矿物绝缘电缆（BTLY）","0.00","0.00","<p>详情请联系在线客服</p>","https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce898cf9b790.jpg","[{""pic_url"":""https://app.zgdljsw.cn/static/uploadfile/file/2019-05-25/5ce89909737d1.jpg"",""id"":""1""}]"," ","米","0.00",0,"[{""attr_group_id"":1,""attr_group_name"":""规格"",""attr_list"":[{""attr_id"":2,""attr_name"":""默认""}]}]",0,0,100,0,0,100,1,0,0,1," "," "," ",100,-1,0,"[{""list"":[]}]","[{""id"":12096,""goods_id"":8330,""sign_id"":""2"",""stock"":1,""price"":""0.00"",""no"":"""",""weight"":0,""pic_url"":"""",""is_delete"":0,""attr_list"":[{""attr_group_name"":""规格"",""attr_group_id"":1,""attr_id"":2,""attr_name"":""默认""}]}]",0,0,1
